hour,symbol,price,__row_index
2025-01-29T01:00:00.000Z,DOLA,0.992299,0
2025-01-29T01:00:00.000Z,EQB,0.48467,1
2025-01-29T01:00:00.000Z,FRAX,0.996983,2
2025-01-29T01:00:00.000Z,HEGIC,0.03460392,3
2025-01-29T01:00:00.000Z,LDO,1.78,4
2025-01-29T01:00:00.000Z,LINK,22.6,5
2025-01-29T01:00:00.000Z,SPA,0.01739365,6
2025-01-29T01:00:00.000Z,SPELL,0.00174347,7
2025-01-29T01:00:00.000Z,USX,1.013,8
2025-01-29T01:00:00.000Z,WBTC,100853.0,9
2025-01-29T00:00:00.000Z,DOLA,0.99193,10
2025-01-29T00:00:00.000Z,EQB,0.485792,11
2025-01-29T00:00:00.000Z,FRAX,0.994698,12
2025-01-29T00:00:00.000Z,HEGIC,0.03471251,13
2025-01-29T00:00:00.000Z,LDO,1.77,14
2025-01-29T00:00:00.000Z,LINK,22.68,15
2025-01-29T00:00:00.000Z,SPA,0.01783497,16
2025-01-29T00:00:00.000Z,SPELL,0.00171092,17
2025-01-29T00:00:00.000Z,USX,1.007,18
2025-01-29T00:00:00.000Z,WBTC,100603.0,19
2025-01-28T23:00:00.000Z,DOLA,0.991544,20
2025-01-28T23:00:00.000Z,EQB,0.485301,21
2025-01-28T23:00:00.000Z,FRAX,0.995286,22
2025-01-28T23:00:00.000Z,HEGIC,0.03465978,23
2025-01-28T23:00:00.000Z,LDO,1.78,24
2025-01-28T23:00:00.000Z,LINK,22.68,25
2025-01-28T23:00:00.000Z,SPA,0.01811671,26
2025-01-28T23:00:00.000Z,SPELL,0.00172086,27
2025-01-28T23:00:00.000Z,USX,0.997616,28
2025-01-28T23:00:00.000Z,WBTC,100109.0,29
2025-01-28T22:00:00.000Z,DOLA,0.990282,30
2025-01-28T22:00:00.000Z,EQB,0.490623,31
2025-01-28T22:00:00.000Z,FRAX,0.993253,32
2025-01-28T22:00:00.000Z,HEGIC,0.03494162,33
2025-01-28T22:00:00.000Z,LDO,1.81,34
2025-01-28T22:00:00.000Z,LINK,22.95,35
2025-01-28T22:00:00.000Z,SPA,0.0179514,36
2025-01-28T22:00:00.000Z,SPELL,0.00182997,37
2025-01-28T22:00:00.000Z,USX,1.007,38
2025-01-28T22:00:00.000Z,WBTC,100965.0,39
