symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
LDO,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60,2025-01-16 16:00:00+00:00,1.98,1.65,0.2,1.686272189,1.683243243,992801.79,263.133260005,0,2025-01-16 16:00:00+00:00
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-01-16 16:00:00+00:00,0.02126892,0.01779665,0.1951080681,0.0192289816,0.01909438184,483370.08,6042.126,1,2025-01-16 16:00:00+00:00
LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,2025-01-16 16:00:00+00:00,22.57,20.53,0.09936678032,20.171183432,20.168594595,14802684.16,893.234622254,2,2025-01-16 16:00:00+00:00
UNI,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,2025-01-16 16:00:00+00:00,14.07,13.1,0.07404580153,13.456923077,13.415081081,2302874.98,464.476599435,3,2025-01-16 16:00:00+00:00
WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,2025-01-16 16:00:00+00:00,97385.0,94732.0,0.02800532027,94992.597633136,94883.875675676,454012212.99,2371.774619508,4,2025-01-16 16:00:00+00:00
DAI,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,2025-01-16 16:00:00+00:00,0.999848,0.998746,0.001103383643,0.9996943728,0.9996613459,11226699.2,681.769551224,5,2025-01-16 16:00:00+00:00
