symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
AAVE,0x76fb31fb4af56892a25e32cfc43de717950c9278,2024-12-24 01:00:00+00:00,383.49,147.33,1.602932193,334.418639053,277.842787795,3940518.29,154.615015695,0,2024-12-24 01:00:00+00:00
LINK,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,2024-12-24 01:00:00+00:00,24.45,11.53,1.120555074,24.339053254,23.252621359,6895580.68,172.531855781,1,2024-12-24 01:00:00+00:00
VELO,0x9560e827af36c94d2ac33a39bce1fe78631088db,2024-12-24 01:00:00+00:00,0.1819082087,0.094487,0.9252194345,0.1932182912,0.1620086494,49527906.47,385.920712421,2,2024-12-24 01:00:00+00:00
WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,2024-12-24 01:00:00+00:00,94306.0,68050.0,0.3858339456,98969.928994083,98186.699029126,217560841.1,599.613711742,3,2024-12-24 01:00:00+00:00
LUSD,0xc40f949f8a4e094d1b49a23ea9241d289b7b2819,2024-12-24 01:00:00+00:00,0.999583,0.997337,0.002251997068,0.9988873373,0.9973218363,6422292.36,103.36861999,4,2024-12-24 01:00:00+00:00
