symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
SEED,0x86f65121804d2cdbef79f9f072d4e0c2eebabc08,2025-02-22 10:00:00+00:00,0.476506,0.281583,0.6922399435,0.5069639704,0.4945347933,239616.35,868.175181159,0,2025-02-22 10:00:00+00:00
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-02-22 10:00:00+00:00,0.02955455,0.02045261,0.4450258427,0.03143883385,0.02963816462,1540740.59,4465.914753623,1,2025-02-22 10:00:00+00:00
GNS,0x18c11fd286c5ec11c3b683caa813b77f5163a122,2025-02-22 10:00:00+00:00,1.6,1.48,0.08108108108,1.631005917,1.512718447,4493269.25,284.798710148,2,2025-02-22 10:00:00+00:00
HDN,0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506,2025-02-22 10:00:00+00:00,0.02776786,0.02759838,0.006140940157,0.02719755344,0.02664793353,61441.98,139.324217687,3,2025-02-22 10:00:00+00:00
DOLA,0x6a7661795c374c0bfc635934efaddff3a7ee23b6,2025-02-22 10:00:00+00:00,0.995867,0.992085,0.003812173352,0.9948322485,0.9928791401,301178.45,1270.795147679,4,2025-02-22 10:00:00+00:00
USD+,0xe80772eaf6e2e18b651f160bc9158b2a5cafca65,2025-02-22 10:00:00+00:00,1.001,0.99915,0.001851573838,0.9997927063,0.9997536011,977916.24,84.984465108,5,2025-02-22 10:00:00+00:00
