Date,HYG_Close,HYG_Volume
2019-12-02,67.01842498779297,20966400
2019-12-03,66.92548370361328,29757200
2019-12-04,67.12687683105469,12406800
2019-12-05,67.2275161743164,18158900
2019-12-06,67.32046508789062,16094700
2019-12-09,67.32046508789062,18034300
2019-12-10,67.48308563232422,15117100
2019-12-11,67.62247467041016,14127500
2019-12-12,67.77737426757812,18958100
2019-12-13,67.84705352783203,18088100
2019-12-16,67.97872161865234,17517400
2019-12-17,68.18781280517578,18650700
2019-12-18,68.31169891357422,31575700
2019-12-19,68.27597045898438,29429300
2019-12-20,68.17493438720703,31918800
2019-12-23,68.20601654052734,9720200
2019-12-24,68.26042175292969,4854900
2019-12-26,68.36148071289062,11382700
2019-12-27,68.33036804199219,11627100
2019-12-30,68.2837142944336,12524300
2019-12-31,68.34591674804688,8310800
2020-01-02,68.63346862792969,15756600
2020-01-03,68.5634994506836,17342200
2020-01-06,68.49357604980469,17936900
2020-01-07,68.431396484375,9640300
2020-01-08,68.49357604980469,16088100
2020-01-09,68.67233276367188,16649500
2020-01-10,68.69563293457031,16182900
2020-01-13,68.69563293457031,17762400
2020-01-14,68.68789672851562,29157100
2020-01-15,68.70341491699219,24637900
2020-01-16,68.7267074584961,22349200
2020-01-17,68.67233276367188,29626700
2020-01-21,68.52461242675781,19724900
2020-01-22,68.64900970458984,17731800
2020-01-23,68.43916320800781,28566200
2020-01-24,68.15161895751953,40838300
2020-01-27,67.6930923461914,41372700
2020-01-28,68.27597045898438,32628300
2020-01-29,68.23709869384766,17308200
2020-01-30,68.30705261230469,20103300
2020-01-31,68.02726745605469,35659700
2020-02-03,68.01636505126953,25754700
2020-02-04,68.42218780517578,25063800
2020-02-05,68.70313262939453,36687700
2020-02-06,68.75775909423828,18329900
2020-02-07,68.65629577636719,12865100
2020-02-10,68.74994659423828,14220000
2020-02-11,68.79679870605469,16821500
2020-02-12,68.97630310058594,26688200
2020-02-13,68.99971008300781,13297900
2020-02-14,68.99191284179688,11398800
2020-02-18,68.8514404296875,26635300
2020-02-19,68.88264465332031,18547500
2020-02-20,68.99971008300781,31277000
2020-02-21,68.93724822998047,23027000
2020-02-24,68.19584655761719,57828300
2020-02-25,67.7197494506836,68418000
2020-02-26,67.7900161743164,69233800
2020-02-27,66.87687683105469,72596300
2020-02-28,67.15003967285156,97472600
2020-03-02,67.65956115722656,72357700
2020-03-03,67.36956024169922,58721000
2020-03-04,68.2945556640625,52664700
2020-03-05,67.43224334716797,62455700
2020-03-06,66.67188262939453,69860600
2020-03-09,63.80270767211914,73609600
2020-03-10,64.7825698852539,57598000
2020-03-11,63.37156295776367,60006600
2020-03-12,60.83951950073242,82926400
2020-03-13,62.75227355957031,69164600
2020-03-16,59.30304718017578,43080100
2020-03-17,59.859642028808594,68569400
2020-03-18,57.217830657958984,54289800
2020-03-19,55.9322395324707,45706300
2020-03-20,54.67795181274414,55796500
