symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-02-28 01:00:00+00:00,0.02635509,0.01674204,0.5741862999,0.02896613988,0.03072663484,2221400.26,4451.703927856,0,2025-02-28 01:00:00+00:00
SPA,0x5575552988a3a80504bbaeb1311674fcfd40ad4b,2025-02-28 01:00:00+00:00,0.01677535,0.01479504,0.1338495874,0.01916547876,0.02311455327,2578877.7,103.656806946,1,2025-02-28 01:00:00+00:00
FRAX,0x17fc002b466eec40dae837fc4be5c67993ddbd6f,2025-02-28 01:00:00+00:00,0.996433,0.994444,0.002000112626,0.9965251716,0.99639438,2146230.88,562.282127325,2,2025-02-28 01:00:00+00:00
