hour,symbol,price,__row_index
2025-02-06T13:00:00.000Z,SPA,0.02708902,0
2025-02-06T13:00:00.000Z,USDC,1.001,1
2025-02-06T12:00:00.000Z,SPA,0.02712498,2
2025-02-06T12:00:00.000Z,USDC,1.0,3
2025-02-06T11:00:00.000Z,SPA,0.02811392,4
2025-02-06T11:00:00.000Z,USDC,1.001,5
2025-02-06T10:00:00.000Z,SPA,0.02825445,6
2025-02-06T10:00:00.000Z,USDC,0.999768,7
2025-02-06T09:00:00.000Z,SPA,0.02846826,8
2025-02-06T09:00:00.000Z,USDC,1.002,9
2025-02-06T08:00:00.000Z,SPA,0.02857334,10
2025-02-06T08:00:00.000Z,USDC,1.001,11
