symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
DF,0xae6aab43c4f3e0cea4ab83752c278f8debaba689,2025-01-28 00:00:00+00:00,0.091049,0.04172022,1.182371042,0.08292018343,0.0808050319,1089462.19,369.434448966,0,2025-01-28 00:00:00+00:00
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-01-28 00:00:00+00:00,0.03366805,0.02017195,0.6690528184,0.02030075467,0.01925728888,1479813.01,4525.42204893,1,2025-01-28 00:00:00+00:00
SPELL,0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af,2025-01-28 00:00:00+00:00,0.00136993,0.00096162,0.4246063934,0.001066458047,0.0008613866574,1453908.99,166.484482996,2,2025-01-28 00:00:00+00:00
QKNTL,0xbcd4d5ac29e06e4973a1ddcd782cd035d04bc0b7,2025-01-28 00:00:00+00:00,0.02451946,0.01729575,0.4176580952,0.02815573817,0.01937923617,116498.09,411.654028269,3,2025-01-28 00:00:00+00:00
IBEX,0x56659245931cb6920e39c189d2a0e7dd0da2d57b,2025-01-28 00:00:00+00:00,0.090085,0.064796,0.3902864374,0.0934637929,0.09330515534,130883.6,91.912640449,4,2025-01-28 00:00:00+00:00
LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,2025-01-28 00:00:00+00:00,24.1,18.05,0.3351800554,25.12295858,22.609805825,270830288.16,1116.425398558,5,2025-01-28 00:00:00+00:00
EQB,0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c,2025-01-28 00:00:00+00:00,0.481589,0.389417,0.2366922862,0.439060497,0.3832228835,1195313.56,459.029784946,6,2025-01-28 00:00:00+00:00
OHM,0xf0cb2dc0db5e6c66b9a70ac27b06b878da017028,2025-01-28 00:00:00+00:00,22.22,18.66,0.1907824223,22.396923077,21.480970874,474280.01,199.612798822,7,2025-01-28 00:00:00+00:00
LDO,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60,2025-01-28 00:00:00+00:00,1.93,1.71,0.1286549708,1.938816568,1.842163662,9867871.49,329.907776069,8,2025-01-28 00:00:00+00:00
WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,2025-01-28 00:00:00+00:00,101824.0,95290.0,0.06856962955,103615.970414201,98605.033287101,5034199433.74,2908.48258431,9,2025-01-28 00:00:00+00:00
MCB,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,2025-01-28 00:00:00+00:00,2.5,2.49,0.004016064257,2.58112426,2.420596394,348662.68,333.329521989,10,2025-01-28 00:00:00+00:00
LUSD,0x93b346b6bc2548da6a1e7d98e9a421b42541425b,2025-01-28 00:00:00+00:00,1.0,0.998177,0.001826329398,0.9995259112,0.9988973329,502173.03,258.319459877,11,2025-01-28 00:00:00+00:00
