symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,__row_index
WELL,0xa88594d404727625a9437c3f886c7643872296ae,2024-12-13 05:00:00+00:00,0.080037,0.04275805,0.8718580478,0.08318377515,0.06960597503,0
CBETH,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,2024-12-13 05:00:00+00:00,4272.09,2664.91,0.6030897854,4200.841775148,3804.032385576,1
WETH,0x4200000000000000000000000000000000000006,2024-12-13 05:00:00+00:00,3934.58,2465.55,0.5958224331,3873.533964497,3509.854022191,2
TBTC,0x236aa50979d5f3de3bd1eeb40e81137f22ab794b,2024-12-13 05:00:00+00:00,99482.0,62689.0,0.5869131746,98899.905325444,95480.925104022,3
AERO,0x940181a94a35a4569e4529a3cdfb74e38fd98631,2024-12-13 05:00:00+00:00,2.17,1.37,0.5839416058,2.089408284,1.573578363,4
