symbol,token_address,latest_hour,latest_price,sixty_day_price,sixty_d_return,rolling_7d_avg,rolling_30d_avg,volume,average_order,__row_index,original_latest_hour
SPA,0x5575552988a3a80504bbaeb1311674fcfd40ad4b,2025-02-16 16:00:00+00:00,0.02489363,0.01381202,0.8023163882,0.02256896426,0.02122050913,3539534.35,120.947696908,0,2025-02-16 16:00:00+00:00
HEGIC,0x431402e8b9de9aa016c743880e04e517074d8cec,2025-02-16 16:00:00+00:00,0.03442641,0.02085134,0.6510406525,0.03233567905,0.02773465688,1522863.1,5093.187625418,1,2025-02-16 16:00:00+00:00
GNS,0x18c11fd286c5ec11c3b683caa813b77f5163a122,2025-02-16 16:00:00+00:00,1.69,1.56,0.08333333333,1.613372781,1.490957004,4207701.41,298.609141296,2,2025-02-16 16:00:00+00:00
