,date,HEGIC comp,SPA comp,FRAX comp,WETH comp
0,2025-02-28 13:00:00,5.581770028296324e-12,0.9999999999944182,0.0,4.9396479125805365e-17
1,2025-02-28 14:00:00,5.620441308488236e-12,0.9999999999943796,0.0,5.019834950145517e-17
2,2025-02-28 15:00:00,5.608132223301467e-12,0.9999999999943919,0.0,5.04264168810121e-17
3,2025-02-28 16:00:00,5.469035715718716e-12,0.9999999999945309,0.0,5.0442435430070374e-17
4,2025-02-28 17:00:00,5.331741403904416e-12,0.9999999999946682,0.0,4.9219083406149823e-17
5,2025-02-28 18:00:00,5.331741403904416e-12,0.9999999999946682,0.0,4.895307019457522e-17
6,2025-02-28 19:00:00,5.611403499951283e-12,0.9999999999943886,0.0,4.9697973388793503e-17
7,2025-02-28 20:00:00,5.611403499951283e-12,0.9999999999943886,0.0,4.9598681186783033e-17
8,2025-02-28 21:00:00,5.520066827598703e-12,0.99999999999448,0.0,4.848310026899934e-17
9,2025-02-28 22:00:00,5.520066827598703e-12,0.99999999999448,0.0,4.865174741068461e-17
10,2025-02-28 23:00:00,5.520066827598703e-12,0.99999999999448,0.0,4.841813502764976e-17
11,2025-03-01 00:00:00,5.520066827598703e-12,0.99999999999448,0.0,4.8835268749042523e-17
12,2025-03-01 01:00:00,4.555722451138244e-12,0.9999999999954443,0.0,4.1157065789565677e-17
13,2025-03-01 02:00:00,4.720108029832774e-12,0.9999999999952798,0.0,4.312981345184924e-17
14,2025-03-01 03:00:00,4.644525696179647e-12,0.9999999999953554,0.0,4.269400721597937e-17
15,2025-03-01 04:00:00,4.955773131555786e-12,0.9999999999950443,0.0,4.5374730854225633e-17
16,2025-03-01 05:00:00,4.812046390128541e-12,0.999999999995188,0.0,4.4222192792515146e-17
17,2025-03-01 06:00:00,4.749211206559708e-12,0.9999999999952507,0.0,4.334083563237007e-17
18,2025-03-01 07:00:00,4.845288777068221e-12,0.9999999999951548,0.0,4.370920737994217e-17
19,2025-03-01 08:00:00,4.845288777068221e-12,0.9999999999951548,0.0,4.357540368388112e-17
20,2025-03-01 09:00:00,4.787079456473165e-12,0.9999999999952129,0.0,4.3077644855865105e-17
21,2025-03-01 10:00:00,4.7369476341749744e-12,0.999999999995263,0.0,4.2666604388431454e-17
22,2025-03-01 11:00:00,4.7369476341749744e-12,0.999999999995263,0.0,4.212637323268377e-17
23,2025-03-01 12:00:00,4.885629800464941e-12,0.9999999999951145,0.0,4.222969496619562e-17
24,2025-03-01 13:00:00,4.846167148377355e-12,0.9999999999951539,0.0,4.209863908142323e-17
25,2025-03-01 14:00:00,4.846167148377355e-12,0.9999999999951539,0.0,4.209863908142323e-17
26,2025-03-01 15:00:00,4.88068972468609e-12,0.9999999999951192,0.0,4.238861977416762e-17
27,2025-03-01 16:00:00,4.8861575032046645e-12,0.9999999999951139,0.0,4.2893150323735276e-17
28,2025-03-01 17:00:00,4.778322156770789e-12,0.9999999999952217,0.0,4.24297664837025e-17
29,2025-03-01 18:00:00,4.778322156770789e-12,0.9999999999952217,0.0,4.2369973921572375e-17
30,2025-03-01 19:00:00,4.864545809160217e-12,0.9999999999951353,0.0,4.305852129097064e-17
31,2025-03-01 20:00:00,4.420893263292317e-12,0.9999999999955792,0.0,3.9528588267291156e-17
32,2025-03-01 21:00:00,4.420893263292317e-12,0.9999999999955792,0.0,3.9589148005990625e-17
33,2025-03-01 22:00:00,4.104104171313425e-12,0.9999999999958958,0.0,3.677776065999003e-17
